Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Sanchez, Gaby	Pit	1B,CM,UT	30	7	.217	1	299	65	30	25	56	.279	.341	.620
Sappelt, Dave	ChC	UT,OF	8	2	.275	0	69	19	8	7	9	.351	.449	.800
Satin, Josh	NYM(NRI)	1B,CM,UT	0	0	.000	0	1	0	0	0	1	.000	.000	.000
Schafer, Jordan	Atl	UT,OF	23	4	.211	27	313	66	40	36	106	.297	.294	.591
Schafer, Logan	Mil	UT,OF	5	0	.304	0	23	7	3	1	3	.320	.522	.842
Schierholtz, Nate	ChC	UT,OF	21	6	.257	3	241	62	20	23	46	.321	.407	.728
Sellers, Justin	LAD	UT,MI,SS	2	1	.205	0	44	9	6	5	14	.286	.386	.672
Silverio, Alfredo	Mia	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Skipworth, Kyle	Mia	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Snyder, Brad	Ari(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Solis, Ali	Pit(NRI)	C,UT	0	0	.000	0	4	0	0	0	2	.000	.000	.000
Span, Denard	Was	UT,OF	41	4	.283	17	516	146	71	47	62	.342	.395	.738
Stewart, Ian	ChC	CM,UT,3B	17	5	.201	0	179	36	16	21	46	.292	.335	.627
Suzuki, Kurt	Was	C,UT	43	6	.235	2	408	96	36	20	73	.276	.328	.605
Tabata, Jose	Pit	UT,OF	16	3	.243	8	333	81	43	29	58	.315	.348	.664
Tanaka, Kensuke	SF(NRI)	MI,UT,2B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Taveras, Oscar	StL(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Teahen, Mark	Ari(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Terdoslavich, Joe	Atl(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Torrealba, Yorvit	Col(NRI)	C,UT	14	4	.227	1	194	44	19	17	40	.293	.330	.623
Towles, J.R.	StL(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Tracy, Chad	Was	1B,CM,UT	14	3	.269	0	93	25	7	10	15	.343	.441	.784
Uggla, Dan	Atl	UT,MI,2B	78	19	.220	4	523	115	86	94	168	.348	.384	.732
Upton, B.J.	Atl	UT,OF	78	28	.246	31	573	141	79	45	169	.298	.454	.752
Uribe, Juan	LAD	CM,UT,3B	17	2	.191	0	162	31	15	13	37	.258	.284	.542
Valaika, Chris	Mia(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Valbuena, Luis	ChC	CM,UT,3B	28	4	.219	0	265	58	26	36	55	.310	.340	.650
Valdez, Wilson	SF(NRI)	UT,MI,2B,SS	15	0	.206	3	194	40	15	8	36	.236	.227	.463
Venable, Will	SD	UT,OF	45	9	.264	24	417	110	62	41	94	.335	.429	.765
Walker, Neil	Pit	UT,MI,2B	69	14	.280	7	472	132	62	47	104	.342	.426	.768
Wallach, Matt	LAD(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Walters, Zach	Was(NRI)	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Weeks, Rickie	Mil	UT,MI,2B	63	21	.230	16	588	135	85	74	169	.328	.400	.728
Weisenburger, Adam	Mil(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Williams, Jackson	SF(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Wong, Kolten	StL(NRI)	MI,UT,2B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Wrigley, Henry	Col(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Yelich, Christian	Mia(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Young, Delmon	Phi	UT,OF	74	18	.267	0	574	153	54	20	112	.296	.411	.707
Young, Michael	Phi	1B,CM,UT,3B	67	8	.277	2	611	169	79	33	70	.312	.370	.682
Davis, Kentrail	Mil(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Wilson, Josh	Ari(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Chavez, Eric	Ari	CM,UT,3B	37	16	.281	0	278	78	36	30	59	.348	.496	.845
