Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
360,Willie Stargell\stargwi01,36,PIT,15,117,110,117,110,0,0,110,0,0,0,0,0,0,0,7,0
361,John Stearns\stearjo01,24,NYM,3,32,28,32,30,0,30,0,0,0,0,0,0,0,0,3,1
362,Rennie Stennett\stennre01,25,PIT,6,157,156,157,157,0,0,0,156,0,4,0,0,0,0,1,0
363,Steve Stone\stonest01,28,CHC,6,17,15,17,17,17,0,0,0,0,0,0,0,0,0,0,0
364,Brent Strom\strombr01,27,SDP,4,38,33,38,36,36,0,0,0,0,0,0,0,0,0,1,1
365,Champ Summers\summech01,30,CHC,3,83,19,83,36,0,1,10,0,0,0,20,0,6,26,56,0
366,Rick Sutcliffe\sutclri01,20,LAD,1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
367,Bruce Sutter\suttebr01,23,CHC,1st,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
368,Don Sutton\suttodo01,31,LAD,11,35,34,35,35,35,0,0,0,0,0,0,0,0,0,0,0
369,Craig Swan\swancr01,25,NYM,4,23,22,23,23,23,0,0,0,0,0,0,0,0,0,0,0
370,Steve Swisher\swishst01,24,CHC,3,109,106,109,107,0,107,0,0,0,0,0,0,0,0,3,0
371,Jerry Tabb\tabbje01,24,CHC,1st,11,4,11,6,0,0,6,0,0,0,0,0,0,0,7,0
372,John Tamargo\tamarjo01,24,STL,1st,10,1,10,1,0,1,0,0,0,0,0,0,0,0,9,0
373,Alex Taveras\taveral01,20,HOU,1st,14,12,14,14,0,0,0,7,0,7,0,0,0,0,0,1
374,Frank Taveras\taverfr01,26,PIT,5,144,137,144,140,0,0,0,0,0,140,0,0,0,0,1,3
375,Chuck Taylor\tayloch02,34,MON,8,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0
