Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
135,Phil Regan\reganph01,35,CHC,0,1,.000,2.25,5,0,2,0,0,0,4.0,6,1,1,0,2,0,2,0,0,0,17,185,2.90,2.000,13.5,0.0,4.5,4.5,1.00
136,Steve Renko\renkost01,27,MON,1,10,.091,5.20,30,12,6,0,0,0,97.0,96,60,56,11,67,10,66,0,0,4,439,68,4.58,1.680,8.9,1.0,6.2,6.1,0.99
137,Rick Reuschel\reuscri01,23,CHC,10,8,.556,2.93,21,18,1,5,4,0,129.0,127,46,42,3,29,6,87,2,2,1,527,129,2.07,1.209,8.9,0.2,2.0,6.1,3.00
138,Jerry Reuss*\reussje01,23,HOU,9,13,.409,4.17,33,30,1,4,1,1,192.0,177,101,89,14,83,3,174,10,2,7,832,81,2.99,1.354,8.3,0.7,3.9,8.2,2.10
139,Ken Reynolds*\reynoke01,25,PHI,2,15,.118,4.26,33,23,1,2,0,0,154.1,149,76,73,17,60,6,87,1,0,1,652,85,3.89,1.354,8.7,1.0,3.5,5.1,1.45
140,J.R. Richard\richaj.01,22,HOU,1,0,1.000,13.50,4,1,0,0,0,0,6.0,10,9,9,0,8,0,8,2,0,2,36,27,4.73,3.000,15.0,0.0,12.0,12.0,1.00
141,Pete Richert*\richepe01,32,LAD,2,3,.400,2.25,37,0,22,0,0,6,52.0,42,17,13,3,18,5,38,1,0,2,213,150,2.78,1.154,7.3,0.5,3.1,6.6,2.11
142,Dave Roberts*\roberda05,27,HOU,12,7,.632,4.50,35,28,4,7,3,2,192.0,227,100,96,18,57,3,111,2,0,7,839,75,3.38,1.479,10.6,0.8,2.7,5.2,1.95
143,Gary Ross\rossga01,24,SDP,4,3,.571,2.45,60,0,23,0,0,3,91.2,87,35,25,2,49,12,46,4,1,6,400,134,3.41,1.484,8.5,0.2,4.8,4.5,0.94
144,Ray Sadecki*\sadecra01,31,NYM,2,1,.667,3.09,34,2,13,0,0,0,75.2,73,33,26,3,31,6,38,2,0,2,328,109,3.22,1.374,8.7,0.4,3.7,4.5,1.23
145,Al Santorini\santoal01,24,STL,8,11,.421,4.11,30,19,2,3,3,0,133.2,136,63,61,6,46,7,72,1,0,5,568,84,2.96,1.362,9.2,0.4,3.1,4.8,1.57
