Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
64,Bobby Castillo\castibo01,25,LAD,4,62,0,62,62,61,0,0,0,0,0,1,0,1,1,0,0
65,Bill Caudill\caudibi01,23,CHC,2,72,2,72,72,72,0,0,0,0,0,0,0,0,0,0,0
66,Cesar Cedeno\cedence01,29,HOU,11,137,136,137,136,0,0,0,0,0,0,0,136,0,136,1,0
67,Ron Cey\ceyro01,32,LAD,10,157,156,157,157,0,0,0,0,157,0,0,0,0,0,0,0
68,Chris Chambliss\chambch01,31,ATL,10,158,158,158,158,0,0,158,0,0,0,0,0,0,0,0,0
69,Larry Christenson\chrisla01,26,PHI,8,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0
70,Jack Clark\clarkja01,24,SFG,6,127,120,127,120,0,0,0,0,0,0,0,0,120,120,6,1
71,Dave Collins\collida02,27,CIN,6,144,141,144,141,0,0,0,0,0,0,18,119,6,141,3,0
72,Geoff Combe\combege01,24,CIN,1st,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
73,Dave Concepcion\conceda01,32,CIN,11,156,153,156,156,0,0,0,1,0,155,0,0,0,0,2,0
74,Gary Cooper\coopega01,23,ATL,1st,21,0,21,13,0,0,0,0,0,0,11,2,0,13,1,13
75,Vic Correll\correvi01,34,CIN,8,10,4,10,10,0,10,0,0,0,0,0,0,0,0,1,0
76,Warren Cromartie\cromawa01,26,MON,6,162,160,162,160,0,0,158,0,0,0,2,0,0,2,2,0
77,Hector Cruz\cruzhe01,27,CIN,7,52,14,52,29,0,0,0,0,0,0,15,1,15,29,24,1
78,Jose Cruz\cruzjo01,32,HOU,11,160,158,160,158,0,0,0,0,0,0,158,0,0,158,2,0
79,John Curtis\curtijo01,32,SDP,11,31,27,31,30,30,0,0,0,0,0,0,0,0,0,1,0
80,John D'Acquisto\d'acqjo01,28,2TM,8,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0
81,Paul Dade\dadepa01,28,SDP,6,68,10,68,30,0,0,0,1,21,0,4,3,1,8,13,33
82,Vic Davalillo\davalvi01,40,LAD,16,7,0,7,1,0,0,1,0,0,0,0,0,0,0,6,0
83,Mark Davis\davisma01,19,PHI,1st,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
84,Andre Dawson\dawsoan01,25,MON,5,151,147,151,147,0,0,0,0,0,0,0,147,0,147,3,1
85,Ivan de Jesus\dejesiv01,27,CHC,7,157,153,157,156,0,0,0,0,0,156,0,0,0,0,0,1
86,Bob Dernier\dernibo01,23,PHI,1st,10,1,10,3,0,0,0,0,0,0,0,3,0,3,0,7
87,Joe DeSa\desajo01,20,STL,1st,7,1,7,2,0,0,1,0,0,0,0,0,1,1,5,0
88,Steve Dillard\dillast01,29,CHC,6,100,63,100,86,0,0,0,38,51,2,0,0,0,0,15,8
89,Dan Driessen\driesda01,28,CIN,8,154,149,154,151,0,0,151,0,0,0,0,0,0,0,3,0
90,Hal Dues\duesha01,25,MON,3,6,1,6,6,6,0,0,0,0,0,0,0,0,0,0,0
91,Leon Durham\durhale01,22,STL,1st,96,73,96,84,0,0,8,0,0,0,35,2,42,77,18,2
92,Mike Easler\easlemi01,29,PIT,7,132,110,132,119,0,0,0,0,0,0,91,0,42,119,15,1
93,Juan Eichelberger\eicheju01,26,SDP,3,15,13,15,15,15,0,0,0,0,0,0,0,0,0,0,0
94,Nino Espinosa\espinni01,26,PHI,7,13,12,13,12,12,0,0,0,0,0,0,0,0,0,0,1
95,Barry Evans\evansba01,24,SDP,3,73,34,73,63,0,0,1,19,44,4,0,0,0,0,13,1
96,Darrell Evans\evansda01,33,SFG,12,154,150,154,151,0,0,14,0,140,0,0,0,0,0,4,0
97,Bill Fahey\faheybi01,30,SDP,8,93,66,93,85,0,85,0,0,0,0,0,0,0,0,12,1
98,Pete Falcone\falcope01,26,NYM,6,37,23,37,37,37,0,0,0,0,0,0,0,0,0,0,0
99,Joe Ferguson\fergujo01,33,LAD,11,77,50,77,67,0,66,0,0,0,0,0,0,1,1,18,0
100,Jesus Figueroa\figueje01,23,CHC,1st,115,29,115,57,0,0,0,0,0,0,22,36,1,57,62,10
101,Rollie Fingers\fingero01,33,SDP,13,66,0,66,66,66,0,0,0,0,0,0,0,0,0,0,0
102,Mike Fischlin\fischmi01,24,HOU,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
103,Tim Flannery\flannti01,22,SDP,2,95,76,95,89,0,0,0,53,41,0,0,0,0,0,13,0
104,Doug Flynn\flynndo01,29,NYM,6,128,128,128,128,0,0,0,128,0,3,0,0,0,0,0,0
105,Tim Foli\foliti01,29,PIT,11,127,122,127,125,0,0,0,0,0,125,0,0,0,0,2,0
106,Barry Foote\footeba01,28,CHC,8,63,52,63,55,0,55,0,0,0,0,0,0,0,0,10,0
107,Bob Forsch\forscbo01,30,STL,7,32,31,32,31,31,0,0,0,0,0,0,0,0,0,1,0
108,Ken Forsch\forscke01,33,HOU,11,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0
109,Terry Forster\forstte01,28,LAD,10,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0
110,George Foster\fostege01,31,CIN,12,144,141,144,141,0,0,0,0,0,0,141,0,0,141,3,0
111,George Frazier\frazige01,25,STL,3,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0
112,Pepe Frias\friaspe01,31,LAD,8,14,1,14,11,0,0,0,0,0,11,0,0,0,0,0,4
113,Woodie Fryman\frymawo01,40,MON,15,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0
114,John Fulgham\fulghjo01,24,STL,2,16,14,16,15,15,0,0,0,0,0,0,0,0,0,0,1
115,Gene Garber\garbege01,32,ATL,11,68,0,68,68,68,0,0,0,0,0,0,0,0,0,0,0
116,Phil Garner\garneph01,31,PIT,8,151,151,151,151,0,0,0,151,0,1,0,0,0,0,0,0
117,Steve Garvey\garvest01,31,LAD,12,163,162,163,162,0,0,162,0,0,0,0,0,0,0,1,0
118,Cesar Geronimo\geronce01,32,CIN,12,103,27,103,85,0,0,0,0,0,0,0,85,0,85,25,1
119,Ed Glynn\glynned01,27,NYM,6,38,0,38,38,38,0,0,0,0,0,0,0,0,0,0,0
120,Dave Goltz\goltzda01,31,LAD,9,35,27,35,35,35,0,0,0,0,0,0,0,0,0,0,0
121,Luis Gomez\gomezlu01,28,ATL,7,121,101,121,119,0,0,0,0,0,119,0,0,0,0,0,4
122,Julio Gonzalez\gonzaju02,27,HOU,4,40,7,40,28,0,0,0,2,11,16,0,0,0,0,12,7
123,Ken Griffey\griffke01,30,CIN,8,146,137,146,138,0,0,0,0,0,0,0,2,138,138,9,0
124,Tom Griffin\griffto02,32,SFG,12,44,4,44,42,42,0,0,0,0,0,0,0,0,0,1,2
125,Ross Grimsley\grimsro02,30,MON,10,11,7,11,11,11,0,0,0,0,0,0,0,0,0,0,0
126,Greg Gross\grossgr01,27,PHI,8,127,21,127,92,0,0,1,0,0,0,58,14,26,91,50,5
127,Pedro Guerrero\guerrpe01,24,LAD,3,75,42,75,57,0,0,2,12,3,0,3,25,16,40,21,6
128,Bill Gullickson\gullibi01,21,MON,2,24,19,24,24,24,0,0,0,0,0,0,0,0,0,0,0
129,Ed Halicki\haliced01,29,SFG,7,11,2,11,11,11,0,0,0,0,0,0,0,0,0,0,0
130,Preston Hanna\hannapr01,25,ATL,6,32,2,32,32,32,0,0,0,0,0,0,0,0,0,0,0
