Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
175,Dave Stewart\stewada01,25,LAD,9,8,.529,3.81,45,14,9,0,0,1,146.1,137,72,62,14,49,11,80,2,0,3,616,92,3.91,1.271,8.4,0.9,3.0,4.9,1.63
176,John Stuper\stupejo01,25,STL,9,7,.563,3.36,23,21,0,2,0,0,136.2,137,55,51,8,55,5,53,0,1,4,578,109,3.91,1.405,9.0,0.5,3.6,3.5,0.96
177,Bruce Sutter\suttebr01,29,STL,9,8,.529,2.90,70,0,58,0,0,36,102.1,88,38,33,8,34,13,61,3,0,5,424,126,3.63,1.192,7.7,0.7,3.0,5.4,1.79
178,Don Sutton\suttodo01,37,HOU,13,8,.619,3.00,27,27,0,4,0,0,195.0,169,75,65,10,46,2,139,1,1,3,784,111,2.68,1.103,7.8,0.5,2.1,6.4,3.02
179,Craig Swan\swancr01,31,NYM,11,7,.611,3.35,37,21,6,2,0,1,166.1,165,70,62,13,37,4,67,0,0,0,691,109,3.59,1.214,8.9,0.7,2.0,3.6,1.81
180,Kent Tekulve\tekulke01,35,PIT,12,8,.600,2.87,85,0,64,0,0,20,128.2,113,47,41,7,46,23,66,3,0,1,541,131,3.54,1.236,7.9,0.5,3.2,4.6,1.43
181,Walt Terrell\terrewa01,24,NYM,0,3,.000,3.43,3,3,0,0,0,0,21.0,22,12,8,2,14,2,8,0,1,1,97,108,5.19,1.714,9.4,0.9,6.0,3.4,0.57
182,Dick Tidrow\tidrodi01,35,CHC,8,3,.727,3.39,65,0,25,0,0,6,103.2,106,45,39,6,29,10,62,3,0,1,441,110,3.20,1.302,9.2,0.5,2.5,5.4,2.14
183,Dave Tomlin*\tomlida01,33,MON,0,0,,4.50,1,0,0,0,0,0,2.0,1,1,1,0,1,0,2,0,0,0,7,98,2.22,1.000,4.5,0.0,4.5,9.0,2.00
184,Lee Tunnell\tunnele01,21,PIT,1,1,.500,3.93,5,3,2,0,0,0,18.1,17,8,8,1,5,0,4,2,0,0,75,98,4.14,1.200,8.3,0.5,2.5,2.0,0.80
185,Fernando Valenzuela*\valenfe01,21,LAD,19,13,.594,2.87,37,37,0,18,4,0,285.0,247,105,91,13,83,12,199,2,0,4,1156,122,2.81,1.158,7.8,0.4,2.6,6.3,2.40
186,Bob Walk\walkbo01,25,ATL,11,9,.550,4.87,32,27,1,3,1,0,164.1,179,101,89,19,59,2,84,6,0,7,717,77,4.38,1.448,9.8,1.0,3.2,4.6,1.42
187,Bob Welch\welchbo01,25,LAD,16,11,.593,3.36,36,36,0,9,3,0,235.2,199,94,88,19,81,5,176,5,1,5,965,104,3.37,1.188,7.6,0.7,3.1,6.7,2.17
188,Chris Welsh*\welshch01,27,SDP,8,8,.500,4.91,28,20,7,3,1,0,139.1,146,88,76,16,63,2,48,3,0,2,618,71,4.94,1.500,9.4,1.0,4.1,3.1,0.76
189,Rick Wise\wiseri01,36,SDP,0,0,,9.00,1,0,1,0,0,0,2.0,3,2,2,0,0,0,0,0,0,0,9,47,2.72,1.500,13.5,0.0,0.0,0.0,
190,Ricky Wright*\wrighri01,23,LAD,2,1,.667,3.03,14,5,3,0,0,0,32.2,28,12,11,1,20,6,24,0,0,1,145,117,3.48,1.469,7.7,0.3,5.5,6.6,1.20
191,Pat Zachry\zachrpa01,30,NYM,6,9,.400,4.05,36,16,6,2,0,1,137.2,149,69,62,10,57,5,69,0,0,4,600,90,3.90,1.496,9.7,0.7,3.7,4.5,1.21
