Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Sal Frelick","MIL",142,594,12,76,63,19,0.079124579,0.134680134,0.117424243,0.317460317,0.287878787,0.350936967,0.40530303,0.33226253764998975,0.30604004533323526,113.95027944107807,2.533524563536048,12.35470201149054,2.823610305786133,3.575150723036754,"Sal Frelick",29622,686217
"Alex Bregman","BOS",114,495,18,64,62,1,0.103030303,0.141414141,0.189376443,0.288184438,0.272517321,0.359595959,0.461893764,0.3555938498518331,0.3451554213112932,125.30300647899588,-1.976726172491908,12.785433567813602,4.617950201034546,3.5235969347210245,"Alex Bregman",17678,608324
"Ronald Acuña Jr.","ATL",95,412,21,74,42,9,0.172330097,0.247572815,0.227810651,0.358139534,0.289940828,0.417475728,0.517751479,0.4028523605243832,0.4061548195633234,161.08104296056186,1.9225816987454891,31.74877758805327,-11.191688060760498,3.505864362949749,"Ronald Acuna Jr.",18401,660670
"Michael Busch","CHC",155,592,34,78,90,4,0.094594594,0.234797297,0.261450382,0.291784702,0.261450381,0.342905405,0.522900763,0.36859447440858617,0.3920504662298387,139.87647460022396,-3.3513580840080976,24.62767286838421,-10.10257863998413,3.5015095180528584,"Michael Busch",26319,683737
"Masyn Winn","STL",129,537,9,72,51,9,0.063314711,0.189944134,0.109979634,0.30104712,0.252545824,0.310280373,0.362525458,0.29734385303247757,0.2903162876022196,91.42323105092078,1.5603580065071583,-3.898379389728208,20.120283603668213,3.487871875995207,"Masyn Winn",27479,691026
"Bryce Harper","PHI",132,580,27,72,75,12,0.120689655,0.208620689,0.225548903,0.292134831,0.261477045,0.356896551,0.487025948,0.3609641829849536,0.3787326613369719,131.2467242056975,1.353697296231985,22.833322223286345,-8.218193411827087,3.469868265102889,"Bryce Harper",11579,547180
"Jacob Wilson","ATH",125,523,13,62,63,5,0.051625239,0.074569789,0.133744856,0.317241379,0.310699588,0.355086372,0.444444444,0.34788482865461934,0.30670588067237364,121.36920669600204,-0.3333049099892378,12.839026946989387,2.9786314964294434,3.459952062227488,"Jacob Wilson",33266,805779
"Mookie Betts","LAD",150,663,20,95,82,8,0.092006033,0.102564102,0.147707979,0.258317025,0.258064516,0.325791855,0.405772495,0.31784157628551374,0.3380093711587557,103.82600808653768,-0.3313895515166223,2.6750579027190944,8.616137504577637,3.4123542926125174,"Mookie Betts",13611,605141
"Hunter Goodman","COL",144,579,31,73,91,1,0.056994818,0.262521588,0.242592593,0.331476323,0.277777777,0.322970639,0.52037037,0.3587744185549813,0.33230651749504936,117.70424184789086,-2.4102510306984186,9.739016714008063,4.1954667046666145,3.3968253134786615,"Hunter Goodman",29715,696100
"Tyler Soderstrom","ATH",158,624,25,75,93,8,0.088141025,0.225961538,0.197860962,0.327455919,0.276292335,0.346153846,0.474153297,0.3535302139555143,0.3516630357311618,125.25810135928567,-0.6810238398611546,17.895218421004042,-6.252023696899414,3.388497252839538,"Tyler Soderstrom",27467,691016
"Dansby Swanson","CHC",159,645,24,84,77,20,0.072868217,0.260465116,0.172881356,0.297766749,0.244067796,0.29968944,0.416949152,0.3095082416319365,0.35528728449456043,99.40050492924945,4.7421546671539545,4.283865557778008,6.894751861691475,3.3395567792225505,"Dansby Swanson",18314,621020
"Rafael Devers","- - -",163,729,35,99,109,1,0.153635116,0.263374485,0.227347611,0.307291666,0.252059308,0.371742112,0.479406919,0.3650801973482166,0.37746992337321306,135.33665120111453,-5.7981165032833815,24.632324967468534,-16.773163586854935,3.3249260383397394,"Rafael Devers",17350,646240
"James Wood","WSN",157,689,31,87,94,15,0.123367198,0.320754716,0.219063545,0.3495702,0.255852842,0.349782293,0.474916387,0.35281340211148476,0.36848692767387997,127.29375842430733,-0.8517836704850197,21.436507414084037,-12.581394672393799,3.2516272035357385,"James Wood",29518,695578
"Xander Bogaerts","SDP",136,552,11,63,53,20,0.086956521,0.170289855,0.128309572,0.299492385,0.262729124,0.328493647,0.391038696,0.3131875612222365,0.334885371496918,103.86734386363368,1.6729235965758562,4.20307245091101,8.927435398101807,3.222649486588198,"Xander Bogaerts",12161,593428
"Patrick Bailey","SFG",135,452,6,47,55,1,0.066371681,0.294247787,0.102689487,0.307971014,0.222493887,0.276785714,0.325183374,0.26539691338049515,0.26593015871325326,69.7839235772586,-2.626504151150584,-18.813666065386524,35.22990369796753,3.218379784034217,"Patrick Bailey",27478,672275
"Ernie Clement","TOR",157,588,9,83,50,6,0.045918367,0.103741496,0.121100917,0.295833333,0.27706422,0.313253012,0.398165137,0.30834983885288236,0.29568407654968154,97.55813512606845,1.0821972470730543,-0.6100800515125315,11.735666751861572,3.208774894231573,"Ernie Clement",20352,676391
