"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid","mlbamid"
"Jonatan Clase","TOR","OF","36","30","254.1","59","1","0","0","0","0","0","0","0","","","","","","1.000","","26599","682729"
"Austin Martin","MIN","OF","48","35","338.0","82","2","0","0","0","0","0","0","0","","","","","","1.000","","27462","668885"
"Tyler Soderstrom","ATH","OF","108","100","867.2","231","11","2","2","0","0","2","0","0","","","","","",".992","","27467","691016"
"Jordan Walker","STL","OF","108","101","885.1","204","5","4","1","3","0","2","0","0","","","","","",".981","","27475","691023"
"Robert Hassell III","WSN","OF","68","51","473.0","131","2","1","1","0","0","1","0","0","","","","","",".993","","27482","690987"
"Rece Hinds","CIN","OF","14","13","107.2","28","1","0","0","0","0","1","0","0","","","","","","1.000","","27493","677956"
"Owen Caissie","MIA","OF","8","6","50.1","14","0","0","0","0","0","0","0","0","","","","","","1.000","","27496","683357"
"Tyler Callihan","CIN","OF","3","3","16.2","2","0","0","0","0","0","0","0","0","","","","","","1.000","","27497","682997"
"Nick Yorke","PIT","OF","4","3","23.0","5","0","0","0","0","0","0","0","0","","","","","","1.000","","27504","694377"
"Garrett Mitchell","MIL","OF","25","21","179.2","68","1","0","0","0","0","1","0","0","","","","","","1.000","","27555","669003"
"Alec Burleson","STL","OF","75","72","588.0","122","2","1","0","1","0","1","0","0","","","","","",".992","","27615","676475"
"Nick Loftin","KCR","OF","38","23","208.0","34","0","0","0","0","0","0","0","0","","","","","","1.000","","27630","679845"
"Michael Massey","KCR","OF","14","9","85.0","24","1","1","1","0","0","0","0","0","","","","","",".962","","27684","686681"
"Joey Wiemer","WSN","OF","23","16","149.0","38","1","0","0","0","0","0","0","0","","","","","","1.000","","27690","686894"
"Pete Crow-Armstrong","CHC","OF","156","153","1357.0","427","5","2","2","0","0","2","0","0","","","","","",".995","","27769","691718"
"Zac Veen","COL","OF","10","10","85.0","16","0","0","0","0","0","0","0","0","","","","","","1.000","","27770","691728"
"Shay Whitcomb","HOU","OF","1","0","2.0","0","0","0","0","0","0","0","0","0","","","","","",".000","","27789","694376"
"Evan Carter","TEX","OF","60","51","460.0","123","2","0","0","0","0","0","0","0","","","","","","1.000","","27790","694497"
"Alejandro Osuna","TEX","OF","58","43","388.0","88","2","0","0","0","0","0","0","0","","","","","","1.000","","27915","696030"
"Petey Halpin","CLE","OF","5","1","15.0","2","0","0","0","0","0","0","0","0","","","","","","1.000","","27931","690984"
"Jasson Dominguez","NYY","OF","100","94","793.0","181","2","2","1","1","0","0","0","0","","","","","",".989","","28080","691176"
"Jhostynxon Garcia","PIT","OF","4","3","25.0","3","0","0","0","0","0","0","0","0","","","","","","1.000","","28142","691373"
"Javier Sanoja","MIA","OF","49","26","235.1","55","3","0","0","0","0","0","0","0","","","","","","1.000","","28253","691594"
"Yanquiel Fernandez","COL","OF","22","17","147.0","41","4","2","1","1","0","1","0","0","","","","","",".957","","28552","692585"
"Jackson Chourio","MIL","OF","149","129","1138.2","285","5","2","2","0","0","0","0","0","","","","","",".993","","28806","694192"
"Blake Dunn","CIN","OF","32","18","178.1","60","0","0","0","0","0","0","0","0","","","","","","1.000","","29487","694362"
"Jackson Merrill","SDP","OF","114","114","1001.1","284","9","1","1","0","0","1","0","0","","","","","",".997","","29490","701538"
"James Wood","WSN","OF","123","123","1067.1","231","5","3","3","0","0","0","0","0","","","","","",".987","","29518","695578"
"Bryce Teodosio","LAA","OF","50","49","406.0","140","0","1","1","0","0","0","0","0","","","","","",".993","","29524","669326"
"Tim Tawa","ARI","OF","35","18","169.0","43","0","0","0","0","0","0","0","0","","","","","","1.000","","29571","694374"
"Billy Cook","PIT","OF","3","1","9.0","3","0","0","0","0","0","0","0","0","","","","","","1.000","","29573","695257"
"Colton Cowser","BAL","OF","93","86","766.2","206","4","2","1","1","0","1","0","0","","","","","",".991","","29591","681297"
"Justyn-Henry Malloy","TBR","OF","20","11","87.0","24","0","0","0","0","0","0","0","0","","","","","","1.000","","29606","669234"
"Sal Frelick","MIL","OF","148","136","1188.0","294","10","3","2","1","0","2","0","0","","","","","",".990","","29622","686217"
"Joey Loperfido","TOR","OF","41","26","227.0","58","1","0","0","0","0","0","0","0","","","","","","1.000","","29630","694388"
"Denzel Clarke","ATH","OF","47","44","383.2","173","1","3","3","0","0","0","0","0","","","","","",".983","","29858","672016"
"Jacob Young","WSN","OF","112","105","901.1","278","4","0","0","0","0","0","0","0","","","","","","1.000","","29931","696285"
"Tyler Black","MIL","OF","2","0","8.1","0","0","0","0","0","0","0","0","0","","","","","",".000","","29949","672012"
"Daylen Lile","WSN","OF","76","73","624.1","151","2","1","1","0","0","0","0","0","","","","","",".994","","29995","695734"
"Tristan Peters","CHW","OF","4","4","29.0","9","0","0","0","0","0","0","0","0","","","","","","1.000","","30063","671976"
"Seiya Suzuki","CHC","OF","48","47","414.2","91","1","3","3","0","0","1","0","0","","","","","",".968","","30116","673548"
"Heston Kjerstad","BAL","OF","53","45","370.1","70","4","0","0","0","0","0","0","0","","","","","","1.000","","31166","677008"
"Victor Scott II","STL","OF","147","126","1118.0","333","4","6","5","1","0","3","0","0","","","","","",".983","","31349","687363"
"Nathan Church","STL","OF","30","17","164.1","55","2","1","1","0","0","0","0","0","","","","","",".983","","31357","701675"
"Graham Pauley","MIA","OF","1","0","0.0","0","0","0","0","0","0","0","0","0","","","","","",".000","","31363","688363"
"Jakob Marsee","MIA","OF","63","53","475.0","140","1","1","1","0","0","0","0","0","","","","","",".993","","31370","805300"
"Brooks Baldwin","CHW","OF","83","64","551.1","126","4","6","5","1","0","2","0","0","","","","","",".956","","31394","681460"
"Jordan Beck","COL","OF","140","133","1159.1","270","12","3","3","0","0","2","0","0","","","","","",".989","","31431","687597"
"Drew Gilbert","SFG","OF","38","30","271.0","67","2","0","0","0","0","0","0","0","","","","","","1.000","","31545","687551"
"Zach Dezenzo","HOU","OF","26","25","194.0","44","2","1","1","0","0","0","0","0","","","","","",".979","","31562","701305"
"Alan Roden","MIN","OF","58","39","357.0","93","3","1","1","0","0","1","0","0","","","","","",".990","","31564","702176"
"Zach Cole","HOU","OF","17","13","116.0","27","1","0","0","0","0","0","0","0","","","","","","1.000","","31583","805904"
"Jacob Melton","TBR","OF","31","22","202.2","46","1","0","0","0","0","1","0","0","","","","","","1.000","","31661","689200"
"Dylan Beavers","BAL","OF","41","34","300.1","59","1","3","2","1","0","0","0","0","","","","","",".952","","31695","687637"
"Otto Kemp","PHI","OF","11","7","63.0","13","1","0","0","0","0","0","0","0","","","","","","1.000","","31792","805249"
"Rhylan Thomas","SEA","OF","3","2","22.0","8","0","0","0","0","0","0","0","0","","","","","","1.000","","31793","689041"
"Roman Anthony","BOS","OF","55","49","442.1","91","2","1","1","0","0","0","0","0","","","","","",".989","","31812","701350"
"Masataka Yoshida","BOS","OF","6","5","41.0","5","0","0","0","0","0","0","0","0","","","","","","1.000","","31837","807799"
"Colby Thomas","ATH","OF","48","29","269.2","64","2","0","0","0","0","0","0","0","","","","","","1.000","","31855","687515"
"Chandler Simpson","TBR","OF","112","99","873.0","196","5","1","0","1","0","1","0","0","","","","","",".995","","31912","802415"
"Wyatt Langford","TEX","OF","149","133","1160.2","302","4","2","1","1","0","0","0","0","","","","","",".994","","33333","694671"
"Dylan Crews","WSN","OF","87","81","713.0","186","4","7","5","2","0","1","0","0","","","","","",".964","","33541","686611"
"Kyle Teel","CHW","OF","1","0","1.0","0","0","0","0","0","0","0","0","0","","","","","",".000","","33549","691019"
"Kristian Campbell","BOS","OF","9","8","69.0","13","0","0","0","0","0","0","0","0","","","","","","1.000","","33644","692225"
"C.J. Kayfus","CLE","OF","29","26","205.0","47","0","0","0","0","0","0","0","0","","","","","","1.000","","33704","692216"
"Jung Hoo Lee","SFG","OF","147","144","1275.2","315","7","3","1","2","0","2","0","0","","","","","",".991","","33824","808982"
"Jac Caglianone","KCR","OF","52","51","402.1","92","1","2","2","0","0","0","0","0","","","","","",".979","","35041","695506"
"Cam Smith","HOU","OF","132","122","1079.1","250","6","2","1","0","0","0","0","0","","","","","",".992","","35108","701358"
"Hyeseong Kim","LAD","OF","17","9","85.1","25","1","0","0","0","0","0","0","0","","","","","","1.000","","35322","808975"
