Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Michael Byrne","CIN",2,4,,5.11765,33,1,0,0,51,226,53,31,29,8,20,0,2,44,7.76471,3.52941,2.2,1.41176,0.19469,0.0884956,0.10619469732046127,0.259804,1.43137,0.296053,0.679612,,,4.86288,0.107222,-0.059344,999,,,,"sa3008227"
"Jose Cuas","CHC",3,3,,4.27119,63,1,0,10,59,260,54,30,28,8,26,1,6,65,9.91525,3.9661,2.5,1.22034,0.25,0.1,0.14999999850988388,0.236842,1.35593,0.296774,0.726744,,,4.44148,0.104894,0.26972,999,,,,"17701"
"Logan Gillaspie","SDP",4,3,,4.41509,41,2,0,1,53,233,54,28,26,7,18,0,3,44,7.4717,3.0566,2.44444,1.18868,0.188841,0.0772532,0.11158798635005951,0.254717,1.35849,0.291925,0.707395,,,4.50032,0.10462,0.0777731,999,,,,"22461"
"Jordan Weems","WSN",3,3,,4.69194,60,0,0,12,63.3,274,57,36,33,9,31,3,3,66,9.38389,4.40758,2.12903,1.27962,0.240876,0.113139,0.12773723155260086,0.2375,1.39021,0.290909,0.689655,,,4.62945,0.104055,-0.0896103,999,,,,"13190"
"Bryce Montes de Oca","NYM",2,2,,4.78125,29,1,0,0,32,149,26,18,17,3,22,0,5,41,11.5312,6.1875,1.86364,0.84375,0.275168,0.147651,0.12751679122447968,0.213115,1.5,0.294872,0.684932,,,4.44254,0.102189,-0.07042,999,,,,"21319"
"Mat Olsen","SFG",4,4,,4.31616,40,0,0,0,56.3,247,53,29,27,7,22,0,5,57,9.1119,3.51687,2.59091,1.11901,0.230769,0.0890688,0.1417004093527794,0.240909,1.33215,0.294872,0.705521,,,4.28524,0.099567,0.0922827,999,,,,"sa3017882"
"Kyle Leahy","STL",5,6,,4.85437,34,10,0,0,92.7,418,99,54,50,13,42,0,3,71,6.8932,4.07767,1.69048,1.26214,0.169856,0.100478,0.06937798857688904,0.265416,1.52104,0.297578,0.708469,,,5.00261,0.0991564,0.225302,999,,,,"24763"
"Dylan Floro","WSN",4,5,,4.84615,56,1,0,10,52,227,55,30,28,8,17,3,1,46,7.96154,2.94231,2.70588,1.38462,0.202643,0.0748899,0.12775330245494843,0.263158,1.38462,0.303226,0.690789,,,4.52427,0.0988598,-0.0722326,744.47998046875,,,,"13394"
"Francisco Morales","ARI",4,5,,4.82143,28,9,0,0,56,259,49,32,30,6,40,0,6,60,9.64286,6.42857,1.5,0.964286,0.23166,0.15444,0.07722008228302002,0.230047,1.58929,0.292517,0.707196,,,4.96933,0.098722,0.295281,999,,,,"22913"
"Jeff Lindgren","MIA",4,7,,5.15987,23,18,0,0,90.7,410,101,56,52,12,39,0,6,54,5.35832,3.8699,1.38462,1.19074,0.131707,0.0951219,0.03658536076545715,0.276712,1.54355,0.297659,0.681818,,,5.27268,0.0935813,0.317485,999,,,,"25830"
"Andrew Bellatti","PHI",1,2,,5.2,50,0,0,1,45,203,43,28,26,8,22,1,3,55,11,4.4,2.5,1.6,0.270936,0.108374,0.1625615656375885,0.241573,1.44444,0.304348,0.687732,,,4.78837,0.0935643,-0.29554,999,,,,"10657"
